year,region_code,small business,large business
2013,DR05,0.040616301407456756,0.004016064257028162
2013,DR06,0.029923543369364536,0.07058823529411762
2013,DR07,0.024188247666622864,-0.052631578947368474
2013,DR08,0.05324185248713542,0.06875000000000009
2014,DR01,0.09149752943212186,0.01783944499504453
2014,DR02,0.1185587296320938,0.05171285184377039
2014,DR03,0.08300573855677551,0.017879948914431676
2014,DR04,0.06967003453126996,0.04245283018867929
2014,DR05,0.0643484157781713,0.08000000000000007
2014,DR06,0.0696275438371945,0.04395604395604402
2014,DR07,0.04877422667180076,0.0
2014,DR08,0.07921308058106957,0.16959064327485374
2015,DR01,0.02153081954507563,-0.003894839337877265
2015,DR02,0.029972279152250092,0.01784232365145222
2015,DR03,0.020727636849132258,0.038895859473023764
2015,DR04,0.002301599163054835,0.04977375565610864
2015,DR05,-0.004530813068563955,-0.029629629629629672
2015,DR06,0.03099198276893622,0.05263157894736836
2015,DR07,0.0018357606168155627,-0.02777777777777779
2015,DR08,0.013037967042916598,-0.0050000000000000044
2016,DR01,0.016634000264396764,0.013685239491691092
2016,DR02,0.028203965589078672,0.03179779861394216
2016,DR03,0.015050194565253028,0.03985507246376807
2016,DR04,0.007515209352260577,-0.03448275862068961
2016,DR05,-0.0048003413576076515,-0.003816793893129722
2016,DR06,-0.0033658310120705526,0.010000000000000009
2016,DR07,-0.0026875152699731286,-0.042857142857142816
2016,DR08,0.00345587797175706,-0.025125628140703515
2017,DR01,0.023869964664311016,0.05014464802314378
2017,DR02,0.038971854571025144,0.04741209008297109
2017,DR03,0.025554705432287772,0.023228803716608626
2017,DR04,0.014059910016575916,0.03125
2017,DR05,0.006895812491067632,0.015325670498084198
2017,DR06,0.004075928729474709,-0.03960396039603964
2017,DR07,-0.011513963743263078,0.0
2017,DR08,-0.0020782613859035015,-0.046391752577319534
2018,DR01,-0.0013142128251710794,0.02846648301193766
2018,DR02,0.014627459359007222,0.02433044134288953
2018,DR03,0.004507688199908877,0.04086265607264483
2018,DR04,-0.0035027292098426255,0.02164502164502169
2018,DR05,-0.013874596359249147,0.09811320754716979
2018,DR06,-0.005103224309904841,0.10309278350515472
2018,DR07,-0.01759603469640647,0.05970149253731338
2018,DR08,-0.008449363322622916,-0.1351351351351351
2019,DR01,0.008570212154219492,0.07767857142857149
2019,DR02,0.015725252548092872,0.026514454060025727
2019,DR03,0.005425605103508646,0.04252998909487449
2019,DR04,0.0008201763379127591,0.06355932203389836
2019,DR05,-0.012234616768621809,0.0034364261168384758
2019,DR06,-0.022266262532058767,0.10280373831775691
2019,DR07,-0.021695257315842542,-0.014084507042253502
2019,DR08,-0.024843975036005772,-0.018750000000000044
